,feature,mean_prob_change_nlp_only,hdi_5_nlp_only,hdi_95_nlp_only,prob_positive_nlp_only,mean_prob_change_with_controls,hdi_5_with_controls,hdi_95_with_controls,prob_positive_with_controls
0,nmf_topic_9_score,0.09942786309238419,-0.05464445014219052,0.2848645599343457,0.854,-0.00904404901515646,-0.20870448387294313,0.1799769771057888,0.468
1,nmf_topic_0_score,0.09691177829764869,-0.06808350094476219,0.28669928337720146,0.829,0.013874685014355558,-0.17894228345751553,0.21291193346918427,0.555
2,nmf_topic_7_score,0.08175184596685912,-0.07549090920347859,0.2835433679915825,0.806,-0.006322228528801178,-0.1975274317492596,0.19345940850046905,0.476
3,nmf_topic_4_score,0.07665187209261251,-0.08785625592453926,0.25110193108329343,0.794,-0.02906917877145165,-0.21540676365601463,0.12795530260048693,0.396
4,nmf_topic_5_score,0.07577624413752736,-0.08629866836402567,0.261139813439305,0.775,-0.011608587978843805,-0.1972770436023527,0.16810957710580257,0.451
5,nmf_topic_1_score,0.04814141262810088,-0.11164285711683855,0.2232496700433942,0.687,-0.1288880306370697,-0.35848720749683954,0.06791775341298524,0.155
6,nmf_topic_2_score,0.031430178116393405,-0.1433933493940627,0.20273730288437797,0.623,-0.033090380566611566,-0.22343541972564063,0.14065072441348145,0.375
7,nmf_topic_10_score,0.01753466879418322,-0.1577350522226003,0.18912449767043604,0.6,-0.05501208254254387,-0.24788163916200154,0.12399263315404933,0.308
8,nmf_topic_6_score,0.017226102638133997,-0.18767482645186892,0.21402829751056549,0.565,-0.007223386179058806,-0.19833472686809608,0.18564535628938322,0.476
9,nmf_topic_3_score,-0.007681322239062772,-0.20341041449804304,0.17113824323245486,0.498,-0.0315382847934274,-0.26039230267806013,0.1622140371137516,0.42
10,nmf_topic_8_score,-0.02799611380157121,-0.19371564766807467,0.12948423533085565,0.376,-0.07708956859144303,-0.2744627840368187,0.06932517096763027,0.219
